redcap_event_name,mean,q25,q75,visit_num
visit_1_arm_1,86.26042070612831,81.826,91.21471230799999,1
visit_2_arm_1,91.77860739586983,87.35,94.806,2
visit_3_arm_1,92.24761330831898,88.21557038600001,94.757222224,3
visit_4_arm_1,93.090330686,89.8611423,98.25,4
visit_5_arm_1,91.3451127546,88.912820512,94.697116986,5
visit_6_arm_1,90.96638714571428,89.27867891,92.131063628,6
visit_7_arm_1,94.33759711299999,91.38569010399999,94.773033102,7
visit_8_arm_1,93.83230638,92.99909304,95.473760404,8
visit_9_arm_1,97.15419860363636,95.764140868,101.49754822,9
